WellID,CompletionID,API_UWI,Unformatted_API_UWI,WellName,WellboreId,ProducingMonth,TotalProdMonths,TotalCompletionMonths,ProducingDays,Prod_BOE,Prod_MCFE,LiquidsProd_BBL,GasProd_MCF,WaterProd_BBL,RepGasProd_MCF,CDProd_BOEPerDAY,CDProd_MCFEPerDAY,CDLiquids_BBLPerDAY,CDGas_MCFPerDAY,CDWater_BBLPerDAY,CDRepGas_MCFPerDAY,PDProd_BOEPerDAY,PDProd_MCFEPerDAY,PDLiquids_BBLPerDAY,PDGas_MCFPerDAY,PDWater_BBLPerDAY,PDRepGas_MCFPerDAY,CumProd_BOE,CumProd_MCFE,CumLiquids_BBL,CumGas_MCF,CumWater_BBL,CumRepGas_MCF,ProductionReportedMethod,ProducingOperator,InjectionGas_MCF,InjectionSolvent_BBL,InjectionSteam_BBL,InjectionWater_BBL,InjectionOther_BBL,CalendarDayInjectionWater_BBLPerDAY,CalendarDayInjectionSteam_BBLPerDAY,CalendarDayInjectionSolvent_BBLPerDAY,CalendarDayInjectionGas_MCFPerDAY,CalendarDayInjectionOther_BBLPerDAY,ENVProdID
840420004729178,840421006232386,42-109-33280,4210933280,TYSON FEE 44 2H,5784216,2018-04-01,1,1,30,25180,151081,13964,67297,67486,67297,839,5036,465,2243,2250,2243,839,5036,465,2243,2250,2243,25180,151081,13964,67297,67486,67297,REPORTED,"CAPITAN ENERGY, INCORPORATED",,,,,,,,,,,1
840420004729178,840421006232386,42-109-33280,4210933280,TYSON FEE 44 2H,5784216,2018-05-01,2,2,31,36758,220547,19826,101591,190295,101591,1186,7114,640,3277,6139,3277,1186,7114,640,3277,6139,3277,61938,371628,33790,168888,257781,168888,REPORTED,"CAPITAN ENERGY, INCORPORATED",,,,,,,,,,,1
840420004729178,840421006232386,42-109-33280,4210933280,TYSON FEE 44 2H,5784216,2018-06-01,3,3,30,32957,197740,17680,91660,188558,91660,1099,6591,589,3055,6285,3055,1099,6591,589,3055,6285,3055,94895,569368,51470,260548,446339,260548,REPORTED,"CAPITAN ENERGY, INCORPORATED",,,,,,,,,,,1
840420004729178,840421006232386,42-109-33280,4210933280,TYSON FEE 44 2H,5784216,2018-07-01,4,4,31,31048,186288,16576,86832,182167,86832,1002,6009,535,2801,5876,2801,1002,6009,535,2801,5876,2801,125943,755656,68046,347380,628507,347380,REPORTED,"CAPITAN ENERGY, INCORPORATED",,,,,,,,,,,1
840420004729178,840421006232386,42-109-33280,4210933280,TYSON FEE 44 2H,5784216,2018-08-01,5,5,31,27765,166591,14877,77329,156542,77329,896,5374,480,2494,5050,2494,896,5374,480,2494,5050,2494,153708,922247,82923,424709,785049,424709,REPORTED,"CAPITAN ENERGY, INCORPORATED",,,,,,,,,,,1
840420004729178,840421006232386,42-109-33280,4210933280,TYSON FEE 44 2H,5784216,2018-09-01,6,6,30,13661,81965,2588,66437,25801,66437,455,2732,86,2215,860,2215,455,2732,86,2215,860,2215,167369,1004212,85511,491146,810850,491146,REPORTED,"CAPITAN ENERGY, INCORPORATED",,,,,,,,,,,1
840420004729178,840421006232386,42-109-33280,4210933280,TYSON FEE 44 2H,5784216,2018-10-01,7,7,31,21052,126314,11261,58748,106366,58748,679,4075,363,1895,3431,1895,679,4075,363,1895,3431,1895,188421,1130526,96772,549894,917216,549894,REPORTED,"CAPITAN ENERGY, INCORPORATED",,,,,,,,,,,1
840420004729178,840421006232386,42-109-33280,4210933280,TYSON FEE 44 2H,5784216,2018-11-01,8,8,30,19637,117820,10522,54688,94162,54688,655,3927,351,1823,3139,1823,655,3927,351,1823,3139,1823,208058,1248346,107294,604582,1011378,604582,REPORTED,"CAPITAN ENERGY, INCORPORATED",,,,,,,,,,,1
840420004729178,840421006232386,42-109-33280,4210933280,TYSON FEE 44 2H,5784216,2018-12-01,9,9,31,22273,133639,10880,68359,92250,68359,718,4311,351,2205,2976,2205,718,4311,351,2205,2976,2205,230331,1381985,118174,672941,1103628,672941,REPORTED,"CAPITAN ENERGY, INCORPORATED",,,,,,,,,,,1
840420004729178,840421006232386,42-109-33280,4210933280,TYSON FEE 44 2H,5784216,2019-01-01,10,10,31,21532,129192,11223,61854,90078,61854,695,4167,362,1995,2906,1995,695,4167,362,1995,2906,1995,251863,1511177,129397,734795,1193706,734795,REPORTED,"CAPITAN ENERGY, INCORPORATED",,,,,,,,,,,1
